Concept Level 1,CCSS Standard,Question UID,Answers,Prompt
Irregular Past Participles,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sQ,"[{""text""=>""I have once {eaten} caribou meat.""}]",I have once <u>eat</u> caribou meat.
Irregular Past Participles,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sR,"[{""text""=>""Half {eaten} strawberries were all over the floor.""}]",Half <u>eat</u> strawberries were all over the floor.
Irregular Past Participles,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sS,"[{""text""=>""Have you {eaten} Thai cuisine before?""}]",Have you <u>eat</u> Thai cuisine before?
Irregular Past Participles,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sT,"[{""text""=>""Our goats have {eaten} almost anything given to them.""}]",Our goats have <u>eat</u> almost anything given to them.
Irregular Past Participles,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sU,"[{""text""=>""The zoo's pandas have {eaten} twice their weight in bamboo.""}]",The zoo's pandas have <u>eat</u> twice their weight in bamboo.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sW,"[{""text""=>""They have {become} good friends.""}]",They have <u>became</u> good friends.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sX,"[{""text""=>""Our coach {became} very upset with us for skipping practice.""}]",Our coach <u>become / became</u> very upset with us for skipping practice.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sY,"[{""text""=>""Zach isn't related to us, but over time he {became} one of the family.""}]","Zach isn't related to us, but over time he <u>become</u> one of the family."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sZ,"[{""text""=>""I had to study abroad before I {became} fluent in German.""}]",I had to study abroad before I <u>become</u> fluent in German.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sa,"[{""text""=>""I {broke} my arm when I was skating.""}]",I <u>break / broke</u> my arm when I was skating.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sb,"[{""text""=>""I am sorry that I {broke} your window.""}]",I am sorry that I <u>break</u> your window.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sc,"[{""text""=>""I {broke} the chocolate in half before eating it.""}]",I <u>break</u> the chocolate in half before eating it.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sd,"[{""text""=>""Eli {broke} the school record by 30 seconds.""}]",Eli <u>break</u> the school record by 30 seconds.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sf,"[{""text""=>""We {built} a birdhouse in the front yard.""}]",We <u>build</u> a birdhouse in the front yard.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sg,"[{""text""=>""We {built} sculptures out of modeling clay last week.""}]",We <u>build</u> sculptures out of modeling clay last week.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sh,"[{""text""=>""Rome wasn't {built} in a day.""}]",Rome wasn't <u>build</u> in a day.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9si,"[{""text""=>""I {built} sand castles every time I went to the beach.""}]",I <u>build</u> sand castles every time I went to the beach.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sj,"[{""text""=>""I {built} a tree house last summer.""}]",I <u>build</u> a tree house last summer.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sl,"[{""text""=>""Our new neighbors {came} by and introduced themselves.""}]",Our new neighbors <u>come / came</u> by and introduced themselves.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sm,"[{""text""=>""My cousins {came} to visit last weekend.""}]",My cousins <u>come</u> to visit last weekend.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sn,"[{""text""=>""Mika {came} close to winning the election.""}]",Mika <u>come</u> close to winning the election.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sp,"[{""text""=>""Reese {did} one hundred pushups before stopping.""}]",Reese <u>did</u> one hundred pushups before stopping.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sq,"[{""text""=>""Lou {did} most of the cleaning while I went to the store.""}]",Lou <u>do / did</u> most of the cleaning while I went to the store.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sr,"[{""text""=>""Kim {did} very well on her exam.""}]",Kim <u>did</u> very well on her exam.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9st,"[{""text""=>""We {went} to the top of the hill with our sled.""}]",We <u>go</u> to the top of the hill with our sled.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9su,"[{""text""=>""My teacher {went} to the West Coast to attend a funeral.""}]",My teacher _____ to the West Coast to attend a funeral.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sv,"[{""text""=>""This morning, we {went} swimming at the beach.""}]","This morning, we <u>go / went</u> swimming at the beach."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sw,"[{""text""=>""My teacher {went} to the West Coast to attend a funeral.""}]",My teacher <u>go</u> to the West Coast to attend a funeral.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sy,"[{""text""=>""Blackbeard {dug} a deep hole and buried his chest there, where nobody would look.""}]","Blackbeard _____ a deep hole and buried his chest there, where nobody would look."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9sz,"[{""text""=>""When they built the house, they made sure they {dug} the foundation deep enough.""}]","When they built the house, they made sure they _____ the foundation deep enough."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t-,"[{""text""=>""Blackbeard {dug} a deep hole and buried his chest there, where nobody would look.""}]","Blackbeard <u>dig / dug</u> a deep hole and buried his chest there, where nobody would look."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t0,"[{""text""=>""\""Those gophers {dug} tunnels under my whole lawn!\""""}]","""Those gophers <u>dig</u> tunnels under my whole lawn!"""
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t1,"[{""text""=>""When they built the house, they made sure they {dug} the foundation deep enough.""}]","When they built the house, they made sure they <u>dig</u> the foundation deep enough."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t3,"[{""text""=>""I {found} three quarters in the couch.""}]",I <u>find / found</u> three quarters in the couch.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t4,"[{""text""=>""After looking for hours, I {found} my pet hamster.""}]","After looking for hours, I <u>find</u> my pet hamster."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t5,"[{""text""=>""After searching for a year, Kira {found} a career as an interpreter.""}]","After searching for a year, Kira <u>find</u> a career as an interpreter."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t7,"[{""text""=>""Ian {wrote} a five page essay for his final project.""}]",Ian <u>write / wrote</u> a five page essay for his final project.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t8,"[{""text""=>""My uncle {wrote} to us every week when he was in Korea.""}]",My uncle <u>write / wrote</u> to us every week when he was in Korea.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t9,"[{""text""=>""The stenographer {wrote} everything said in court.""}]",The stenographer <u>write</u> everything said in court.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tA,"[{""text""=>""I just {wrote} that essay.""}]",I just <u>write</u> that essay.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tB,"[{""text""=>""We {wrote} lots of essays in English class.""}]",We <u>write</u> lots of essays in English class.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tD,"[{""text""=>""The radio show host {spoke} with a soothing voice.""}]",The radio show host <u>speak</u> with a soothing voice.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K2xR0iggm3QccpDOmbt,"[{""text""=>""Yesterday, I {spoke} with the coffee shop owner.""}]","Yesterday, I <u>speak</u> with the coffee shop owner."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K2xRaPM4RC3J3AFD5GK,"[{""text""=>""Before the week started, I {spoke} with my teacher about upcoming assignments.""}]","Before the week started, I <u>speak</u> with my teacher about upcoming assignments."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tF,"[{""text""=>""I {spoke} French well.""}]",I <u>speak</u> French well.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tG,"[{""text""=>""The couple {spoke} very gently to their newborn baby.""}]",The couple <u>speak / spoke</u> very gently to their newborn baby.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tH,"[{""text""=>""I {spoke} to her last week, but haven't seen her since.""}]","I <u>speak</u> to her last week, but haven't seen her since."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tJ,"[{""text""=>""My teacher {knew} nobody did their work yesterday.""}]",My teacher <u>know / knew</u> nobody did their work yesterday.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tK,"[{""text""=>""Jake {knew} the answer, so he raised his hand.""}]","Jake <u>know</u> the answer, so he raised his hand."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tL,"[{""text""=>""My sister {knew} I ate the last cookie, but didn't say anything.""}]","My sister <u>know</u> I ate the last cookie, but didn't say anything."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tN,"[{""text""=>""I {made} a lot of mistakes this year, but I learned a lot too.""}]","I <u>make</u> a lot of mistakes this year, but I learned a lot too."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tO,"[{""text""=>""Cody {made} a recording of his new song.""}]",Cody <u>make</u> a recording of his new song.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tP,"[{""text""=>""My mom {made} me a sandwich this morning.""}]",My mom <u>make</u> me a sandwich this morning.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tQ,"[{""text""=>""Using only three colors, Shaun {made} a beautiful painting.""}]","Using only three colors, Shaun <u>make</u> a beautiful painting."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tR,"[{""text""=>""We have {made} many quilts over the years.""}]",We have <u>make / made</u> many quilts over the years.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tS,"[{""text""=>""She liked what Sam had {made} when he was studying origami.""}]",She liked what Sam had <u>make / made</u> when he was studying origami.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tT,"[{""text""=>""Tyler has {made} it into the final round!""}]",Tyler has <u>make</u> it into the final round!
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tU,"[{""text""=>""We have {made} amends after arguing for so long.""}]",We have <u>make</u> amends after arguing for so long.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tV,"[{""text""=>""Michelle has {made} cupcakes for everyone.""}]",Michelle has <u>make</u> cupcakes for everyone.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tW,"[{""text""=>""We have {made} twenty dollars today.""}]",We have <u>make</u> twenty dollars today.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tX,"[{""text""=>""The walls of the candy house are {made} out of gingerbread.""}]",The walls of the candy house are <u>make</u> out of gingerbread.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tY,"[{""text""=>""He has {made} this mistake before.""}]",He has <u>make</u> this mistake before.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tZ,"[{""text""=>""Jody has {made} a good effort to eat vegetables.""}]",Jody has <u>make</u> a good effort to eat vegetables.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9t_,"[{""text""=>""Ben would have {made} a great chef.""}]",Ben would have <u>make</u> a great chef.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9ta,"[{""text""=>""This shed was {made} to endure harsh weather.""}]",This shed was <u>make</u> to endure harsh weather.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tb,"[{""text""=>""My galoshes were {made} to resist water.""}]",My galoshes were <u>make</u> to resist water.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tc,"[{""text""=>""I have {made} the best spaghetti ever.""}]",I have <u>make</u> the best spaghetti ever.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9te,"[{""text""=>""I {lost} many games before becoming this skilled.""}]",I <u>lose</u> many games before becoming this skilled.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tf,"[{""text""=>""I {lost} many games before becoming this skilled.""}]",I <u>lose / lost</u> many games before becoming this skilled.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tg,"[{""text""=>""Adrian checked the {lost} luggage for his bag.""}]",Adrian checked the <u>lose / lost</u> luggage for his bag.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9th,"[{""text""=>""I would not say that this is a {lost} cause.""}]",I would not say that this is a <u>lose</u> cause.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9ti,"[{""text""=>""In all likelihood, the {lost} keys are on the counter.""}]","In all likelihood, the <u>lose</u> keys are on the counter."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tj,"[{""text""=>""I have {lost} my way.""}]",I have <u>lose</u> my way.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tk,"[{""text""=>""All is not {lost}.""}]",All is not <u>lose</u>.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tl,"[{""text""=>""She has {lost} her ID.""}]",She has <u>lose</u> her ID.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tm,"[{""text""=>""My {lost} ferret was in the yard this whole time.""}]",My <u>lose</u> ferret was in the yard this whole time.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tn,"[{""text""=>""I found the {lost} footage of that documentary.""}]",I found the <u>lose</u> footage of that documentary.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9to,"[{""text""=>""The long {lost} sisters were reunited.""}]",The long <u>lose</u> sisters were reunited.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tp,"[{""text""=>""Mary has {lost} many of her belongings before she bought a purse.""}]",Mary has <u>lose</u> many of her belongings before she bought a purse.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tq,"[{""text""=>""I have not {lost} contact with my old friends.""}]",I have not <u>lose</u> contact with my old friends.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tr,"[{""text""=>""I'm relieved that your {lost} money was found.""}]",I'm relieved that your lost money was found.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tt,"[{""text""=>""By the time I came outside, my car was {gone}!""}]","By the time I came outside, my car was <u>go</u>!"
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tu,"[{""text""=>""The sofa was {gone} before I could buy it.""}]",The sofa was <u>go</u> before I could buy it.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tv,"[{""text""=>""They have {gone} home.""}]",They have <u>go</u> home.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tw,"[{""text""=>""Ann has spontaneously {gone} to London without planning ahead.""}]",Ann has spontaneously <u>go</u> to London without planning ahead.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9tx,"[{""text""=>""My chance to catch the train is long {gone}.""}]",My chance to catch the train is long <u>go</u>.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9ty,"[{""text""=>""The nomadic tribe has {gone} to where there is food.""}]",The nomadic tribe has <u>go</u> to where there is food.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K0biQDBVRtLHXT6Uv-G,"[{""text""=>""I have {gone} down this road before.""}]",I have <u>go </u> down this road before.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K0biX-W01uIzfS66bt3,"[{""text""=>""Josh has {gone} overseas for a job interview.""}]",Josh has <u>go </u> overseas for a job interview.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9u-,"[{""text""=>""I accidentally {sat} on a wet bench.""}]",I accidentally <u>sit / sat</u> on a wet bench.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9u0,"[{""text""=>""The monk {sat} quietly meditating for hours.""}]",The monk <u>sit / sat</u> quietly meditating for hours.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9u1,"[{""text""=>""The students {sat} in groups of five.""}]",The students <u>sit</u> in groups of five.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9u6,"[{""text""=>""I can't really tell you what he looked like since I only {saw} him for a moment.""}]",I can't really tell you what he looked like since I only <u>see / saw</u> him for a moment.
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9u7,"[{""text""=>""I {saw} Hamlet last month, so I don't want to go see it again tonight.""}]","I <u>see</u> Hamlet last month, so I don't want to go see it again tonight."
Irregular Past Tense Verbs,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9u8,"[{""text""=>""I'm jealous of my brother because he {saw} the concert last night.""}]",I'm jealous of my brother because he <u>see</u> the concert last night.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9uA,"[{""text""=>""He ate both {halves} of the cookie.""}]",He ate both <u>half</u> of the cookie.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9uB,"[{""text""=>""There are two {wolves} living in the woods.""}]",There are two <u>wolf</u> living in the woods.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K2xi4sv4F1QPBdPXN2F,"[{""text""=>""I bought two {loaves} of bread at the store.""}]",I bought two <u>loaf</u> of bread at the store.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9uD,"[{""text""=>""After college, my friends' girlfriends became their {wives}.""}]","After college, my friends' girlfriends became their <u>wife</u>."
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9uE,"[{""text""=>""A butcher uses different kinds of {knives}.""}]",A butcher uses different kinds of <u>knife</u>.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K2xhp1usAG8FZ1oWFx-,"[{""text""=>""It is said that cats have nine {lives}.""}]",It is said that cats have nine <u>life</u>.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9uG,"[{""text""=>""I heard there are two active {volcanoes} on this island.""}]",I heard there are two active <u>volcano</u> on this island.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,Jzw0qjNNnNInNWZT9uH,"[{""text""=>""Let's grow some {tomatoes} in our garden.""}]",Let's grow some <u>tomato</u> in our garden.
Irregular Plural Nouns,2.1d. Use the Past Tense of Frequently Occurring Irregular Verbs,K2xT7M8Ig8g2gSXBWa1,"[{""text""=>""The recipe said I needed to chop ten {potatoes} into cubes.""}]",The recipe said I needed to chop ten <u>potato</u> into cubes.
"It's, Its",4.1g. Commonly Confused Words,Jzw0qjNNnNInNWZT9uM,"[{""text""=>""{It's} a really good thing I brought my raincoat.""}]",<u>It is</u> a really good thing I brought my raincoat.
"It's, Its",4.1g. Commonly Confused Words,Jzw0qjNNnNInNWZT9uN,"[{""text""=>""{It's} such a shame you are leaving so soon.""}]",<u>It is</u> such a shame you are leaving so soon.
"It's, Its",4.1g. Commonly Confused Words,K2xgy9z3Yr7OG39cBS8,"[{""text""=>""When {it's} time to leave for the meeting, please let me know.""}]","When <u>it is</u> time to leave for the meeting, please let me know."
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,Jzw0qjNNnNInNWZT9uP,"[{""text""=>""I can't believe {it's} already Friday!""}]",I can't believe ___  already Friday!
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,Jzw0qjNNnNInNWZT9uQ,"[{""text""=>""{It's} raining cats and dogs.""}]",__ raining cats and dogs.
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,K0c6Sqd9hxvY-K9VOfN,"[{""text""=>""I don't think {it's} a good idea to jump across that gap.""}]",I don't think <u>it is</u> a good idea to jump across that gap.
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,K0c6XszJJ_wXcXJf3AJ,"[{""text""=>""I think {it's} almost 9:30pm.""}]",I think <u>it is</u> almost 9:30pm.
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,Jzw0qjNNnNInNWZT9uS,"[{""text""=>""I dropped my phone and cracked {its} screen.""}]",I dropped my phone and cracked __ screen.
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,Jzw0qjNNnNInNWZT9uT,"[{""text""=>""The old penny lost {its} shine.""}]",The old penny lost ____ shine.
"It's, Its",2.2c. Use an Apostrophe to Form Contractions,K2x879ebg1jF3g7lW6j,"[{""text""=>""The dog was chewing on {its} leash.""}]",The dog was chewing on _____ leash.
"It's, Its",4.1g. Commonly Confused Words,Jzw0qjNNnNInNWZT9uV,"[{""text""=>""I think {it's} a good day for a walk.""}]",I think <u>it's / its</u> a good day for a walk.
"It's, Its",4.1g. Commonly Confused Words,Jzw0qjNNnNInNWZT9uW,"[{""text""=>""{It's} almost time for bed.""}]",<u>It's / its</u> almost time for bed.
"It's, Its",4.1g. Commonly Confused Words,K0bkUxJYaPYv25vwC9P,"[{""text""=>""{It's} a really good thing I brought my raincoat.""}]",<u>It's / Its</u> a really good thing I brought my raincoat.
"It's, Its",4.1g. Commonly Confused Words,K0bkcto87C7E-ri-lVz,"[{""text""=>""{It's} such a shame you are leaving so soon.""}]",<u>It's / Its</u> such a shame you are leaving so soon.
"It's, Its",4.1g. Commonly Confused Words,Jzw0qjNNnNInNWZT9uY,"[{""text""=>""We drove our car until {its} tires wore out.""}]",We drove our car until <u>it's / its</u> tires wore out.
"It's, Its",4.1g. Commonly Confused Words,Jzw0qjNNnNInNWZT9uZ,"[{""text""=>""The lizard lost {its} tail, but it will eventually regrow.""}]","The lizard lost <u>it's/its</u> tail, but it will eventually regrow."
"It's, Its",4.1g. Commonly Confused Words,K2x7-_6zz7hM-2hNvIU,"[{""text""=>""The subway closed {its} doors before I could get in.""}]",The subway closed <u> its / it's </u> doors before I could get in.
Let's,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjNNnNInNWZT9ua,"[{""text""=>""{Let's} celebrate our last day of school together.""}]",<u>Let us</u> celebrate our last day of school together.
Let's,2.2c. Use an Apostrophe to Form Contractions,Jzw0qjNNnNInNWZT9ub,"[{""text""=>""{Let's} do this!""}]",<u>Let us</u> do this!
